Category,id,Features
Info,179859,Feature Mean
Info,202787,Seeing Feature
Info,276255,Made Granular
Info,277669,Information Allows
Info,289187,Burden Customer
Info,336870,Lead Activity
Info,543274,Information Company
Affordability,336870,Spending Money
Affordability,348994,Pricey Business
Affordability,647201,Expensive Startup
Affordability,753884,Unsure Money
Affordability,780657,Cost Acquisition
Affordability,898607,Money Name
Affordability,953874,Pricey Side
Affordability,2506505,Price Point
Pages,305790,Corporate Page
Pages,336726,Vendor Page
Pages,341360,Page Write
Pages,351531,Predefined Page
Pages,354532,Viewed Page
Pages,377260,Page Increase
Pages,689224,Landing Page
Pages,4360983,Product Page
Pages,7079149,Customize Page
Needs,334965,Csv Doc
Needs,336667,Confusing Webhooks
Needs,354532,Attribution Value
Needs,371950,See Documentation
Needs,616298,Lack Multilanguage
Needs,646011,User Interface
Needs,4469517,Reporting Need
Roi,67896,Saw Roi
Roi,354532,Roi Track
Roi,673248,Roi Goal
Roi,749930,Annual Revenue
Roi,780657,Needed Roi
Roi,862086,Value Roi
Roi,1322855,Seeing Roi
Roi,2158700,Employee Revenue
Roi,4141337,Determine Roi
Security,67896,Paid Subscription
Security,333833,Tripadvisor Term
Security,354532,Ip Address
Security,366147,Multiple Product
Security,370467,Category Description
Security,1239365,Subscription Price
Security,4194616,Ip Look
Security,4700888,Multiple Category
Security,9144698,Content Subscription
Social,67896,Deal Lead
Social,297239,Linkedin Log
Social,302708,Lead System
Social,307360,Organic Lead
Social,333833,Misleading End
Social,336667,Market Leader
Social,515733,Lead Generation
Social,898607,Email Address
Social,1953502,Email Notification
Social,4469517,Lead Gen
Technical,280373,Grid Question
Technical,307360,Seo Penetration
Technical,336467,Least Program
Technical,336667,Evaluation Grid
Technical,415865,Sentiment Analysis
Technical,613314,Comparison Tool
Technical,2158700,Grid Report
Technical,6889183,Position Grid
Technical,7167708,Overall Tool
